4,146;4,325;-0,582;0,590;2,436;-1,514;0,873;3,091;4,216;4,303
0,293;3,771;2,010;4,179;2,442;1,991;-0,013;1,026;3,234;0,237
0,432;0,749;1,480;-1,245;2,875;1,236;3,854;-0,412;3,962;4,924
-0,028;2,103;-1,389;0,874;7,093;2,706;-0,382;1,034;2,687;0,754
-0,276;-2,144;3,765;0,795;1,936;2,418;0,476;2,676;2,560;4,950
0,008;2,159;0,821;0,151;0,500;0,099;1,764;3,149;1,813;3,302
2,732;3,996;1,053;1,949;0,473;3,027;-0,314;1,166;1,778;1,094
2,331;1,219;2,153;1,786;1,088;5,183;4,212;1,655;0,272;2,535
0,453;-1,497;-0,150;3,091;2,931;-1,989;4,153;0,233;1,454;1,484
0,439;1,349;1,519;-0,765;3,337;0,801;2,505;1,452;1,801;1,645
3,080;3,243;4,345;0,491;0,936;3,782;5,075;2,970;1,228;3,261
-2,671;1,356;4,750;0,210;4,480;2,559;1,824;2,473;2,025;-0,692
2,198;2,436;0,741;2,485;-2,484;2,191;3,662;0,591;1,312;1,871
0,454;2,059;5,930;-0,665;3,810;-1,208;2,277;-1,916;-0,548;0,678
0,920;2,387;3,059;5,215;3,158;0,822;0,958;1,444;2,113;-0,165
3,457;-0,014;2,723;0,188;2,166;4,285;3,788;3,696;-0,187;4,363
4,723;5,779;1,581;0,249;-0,201;-0,153;5,231;4,192;4,487;1,306
5,745;2,668;2,283;1,645;5,830;3,923;-0,545;-1,348;4,846;-4,030
5,220;4,390;2,211;2,471;0,984;1,440;2,622;0,709;3,568;5,176
0,389;0,704;0,834;3,136;2,472;6,260;0,625;3,996;3,142;1,074
-0,195;1,972;4,144;3,578;1,868;2,989;3,046;3,988;4,035;5,889
2,348;3,536;0,288;3,427;1,007;1,881;5,565;0,325;-2,179;-0,198
1,764;0,699;-1,575;4,754;2,029;1,736;-1,630;-3,518;3,705;-2,088
1,513;-1,715;1,547;3,257;-1,119;-0,650;1,590;1,416;-0,905;2,136
1,063;1,568;2,587;1,658;2,109;3,491;0,109;-1,361;4,536;2,753
4,291;3,432;1,422;1,638;1,022;1,390;0,697;1,479;4,764;2,092
4,950;-0,453;1,987;4,213;1,804;1,316;6,115;5,931;1,367;7,276
4,179;0,723;-3,512;2,022;2,709;4,199;-0,446;3,853;1,693;4,195
3,256;2,080;2,031;3,913;2,961;1,341;1,662;6,473;1,847;2,872
1,600;2,474;3,755;4,529;4,214;2,326;2,307;4,053;0,624;2,898
0,873;0,781;-0,877;3,068;1,164;1,141;1,802;0,661;5,228;5,054
3,607;-1,037;0,123;2,446;1,701;1,501;2,543;3,766;-1,600;1,184
5,426;5,081;0,634;1,854;3,757;2,449;-2,131;1,370;2,819;-0,420
2,988;0,143;-3,377;5,168;2,132;1,902;4,389;1,386;-1,623;2,886
1,559;0,235;1,039;0,255;1,952;5,657;-0,087;1,273;2,682;-0,666
0,508;1,781;4,532;2,459;4,313;1,916;3,094;0,139;1,020;-1,942
-1,989;1,350;4,641;-0,131;2,424;3,720;2,042;0,986;2,808;-0,415
-0,278;-0,509;3,162;4,258;2,803;1,304;3,595;1,245;5,052;1,453
1,655;1,666;4,868;-0,706;4,246;2,255;-0,160;-0,003;2,688;0,353
1,642;1,706;3,654;0,717;5,324;2,320;4,985;0,262;-1,017;4,388
3,483;0,408;-1,799;4,375;3,485;-2,279;-3,222;0,991;0,895;3,442
4,840;3,562;1,815;2,980;3,399;0,060;2,804;-0,012;-0,495;4,380
4,808;-3,032;-0,349;0,981;6,713;3,638;1,221;1,494;-0,332;4,210
4,366;-0,231;5,717;0,456;3,072;3,223;1,942;3,859;2,498;2,390
1,159;3,201;-0,581;1,416;1,799;4,970;-1,625;0,539;2,905;-0,130
2,110;2,995;4,243;0,135;1,778;-0,090;2,992;0,545;0,881;2,280
5,323;0,079;4,542;-2,971;0,575;0,493;0,700;0,794;-0,475;5,015
-0,655;0,870;3,620;2,191;0,231;-0,639;2,033;2,956;0,576;1,138
0,561;1,955;2,672;5,086;0,822;0,786;2,325;1,233;-0,181;-0,348
2,335;1,064;-1,395;1,295;2,302;5,142;2,995;1,761;2,530;2,508
